id,tag,donor,distSpatial,donors,distSpatials
cat-17995,hlr,cat-10227,17,"cat-10227,cat-10229","17,22"
cat-18005,hlr,cat-10227,34,"cat-10227,cat-10229","34,39"
cat-18016,hlr,cat-10227,29,"cat-10227,cat-10229","29,34"
cat-18023,hlr,cat-10227,25,"cat-10227,cat-10229","25,30"
cat-18024,hlr,cat-10227,21,"cat-10227,cat-10229","21,26"
cat-18025,hlr,cat-10227,14,"cat-10227,cat-10229","14,19"
cat-18049,hlr,cat-10227,30,"cat-10227,cat-10229","30,34"
cat-18079,hlr,cat-10227,28,"cat-10227,cat-10229","28,32"
cat-18080,hlr,cat-10227,35,"cat-10227,cat-10229","35,38"
cat-18104,hlr,cat-10227,24,"cat-10227,cat-10229","24,26"
cat-18144,hlr,cat-10083,68,cat-10083,68
cat-18155,hlr,cat-10083,60,cat-10083,60
cat-18158,hlr,cat-10227,42,"cat-10227,cat-10229","42,47"
cat-18163,hlr,cat-10227,26,"cat-10227,cat-10229","26,31"
cat-18256,hlr,cat-10227,60,"cat-10227,cat-10229","60,63"
cat-18257,hlr,cat-10227,59,"cat-10227,cat-10229","59,62"
cat-18275,hlr,cat-10227,47,"cat-10227,cat-10229","47,50"
cat-18433,hlr,cat-10227,81,"cat-10227,cat-10229","81,84"
cat-18452,hlr,cat-10083,21,cat-10083,21
cat-18489,hlr,cat-10227,46,"cat-10227,cat-10229","46,50"
cat-18517,hlr,cat-10227,72,"cat-10227,cat-10229","72,76"
cat-18542,hlr,cat-10227,78,"cat-10227,cat-10229","78,83"
cat-18545,hlr,cat-10227,82,"cat-10227,cat-10229","82,87"
cat-18553,hlr,cat-10227,78,"cat-10227,cat-10229","78,83"
cat-18593,hlr,cat-10227,83,"cat-10227,cat-10229","83,87"
cat-18684,hlr,cat-10227,96,"cat-10227,cat-10229","96,101"
cat-18685,hlr,cat-10227,102,"cat-10227,cat-10229","102,107"
cat-18694,hlr,cat-10227,98,"cat-10227,cat-10229","98,103"
cat-18697,hlr,cat-10227,92,"cat-10227,cat-10229","92,97"
cat-18705,hlr,cat-10227,73,"cat-10227,cat-10229","73,78"
cat-18718,hlr,cat-10227,69,"cat-10227,cat-10229","69,74"
cat-18765,hlr,cat-10227,36,"cat-10227,cat-10229","36,41"
cat-18853,hlr,cat-10227,20,"cat-10227,cat-10229","20,23"
cat-18869,hlr,cat-10227,83,"cat-10227,cat-10229","83,87"
cat-18889,hlr,cat-10227,61,"cat-10227,cat-10229","61,65"
cat-18937,hlr,cat-10227,58,"cat-10227,cat-10229","58,62"
cat-18945,hlr,cat-10227,43,"cat-10227,cat-10229","43,45"
cat-18954,hlr,cat-10227,88,"cat-10227,cat-10229","88,93"
cat-18958,hlr,cat-10227,16,"cat-10227,cat-10229","16,21"
cat-18983,hlr,cat-10229,0,"cat-10229,cat-10227","0,5"
cat-19116,hlr,cat-10229,16,"cat-10229,cat-10227","16,19"
cat-19152,hlr,cat-10227,26,"cat-10227,cat-10229","26,27"
cat-19173,hlr,cat-10229,14,"cat-10229,cat-10227","14,16"
cat-19681,hlr,cat-10229,20,"cat-10229,cat-10227","20,22"
cat-19684,hlr,cat-10229,20,"cat-10229,cat-10227","20,21"
cat-19691,hlr,cat-10229,28,"cat-10229,cat-10227","28,29"
cat-19712,hlr,cat-10229,36,"cat-10229,cat-10227","36,37"
cat-19714,hlr,cat-10227,38,"cat-10227,cat-10229","38,38"
cat-19753,hlr,cat-10227,42,"cat-10227,cat-10229","42,42"
cat-19760,hlr,cat-10229,43,"cat-10229,cat-10227","43,44"
cat-19767,hlr,cat-10227,40,"cat-10227,cat-10229","40,42"
cat-19773,hlr,cat-10083,63,cat-10083,63
cat-19795,hlr,cat-10229,29,"cat-10229,cat-10227","29,30"
cat-19799,hlr,cat-10229,31,"cat-10229,cat-10227","31,32"
cat-20015,hlr,cat-10229,8,"cat-10229,cat-10227","8,10"
cat-20018,hlr,cat-10227,3,"cat-10227,cat-10229","3,7"
cat-20033,hlr,cat-10227,3,"cat-10227,cat-10229","3,4"
cat-20050,hlr,cat-10229,5,"cat-10229,cat-10227","5,6"
cat-20109,hlr,cat-10229,11,"cat-10229,cat-10227","11,13"
cat-20140,hlr,cat-10227,39,"cat-10227,cat-10229","39,41"
cat-20144,hlr,cat-10227,35,"cat-10227,cat-10229","35,35"
cat-20319,hlr,cat-10229,12,"cat-10229,cat-10227","12,15"
cat-20322,hlr,cat-10227,20,"cat-10227,cat-10229","20,20"
cat-21367,hlr,cat-10083,45,cat-10083,45
cat-21440,hlr,cat-10227,63,"cat-10227,cat-10229","63,63"
cat-22096,hlr,cat-10229,148,"cat-10229,cat-10227","148,149"
cat-22136,hlr,cat-10229,150,"cat-10229,cat-10227","150,151"
cat-24721,hlr,cat-10229,64,"cat-10229,cat-10227","64,65"
cat-39640,hlr,cat-10083,185,cat-10083,185
cat-39651,hlr,cat-10083,193,cat-10083,193
cat-39803,hlr,cat-10083,187,cat-10083,187
cat-39916,hlr,cat-10083,212,cat-10083,212
cat-39945,hlr,cat-10227,93,"cat-10227,cat-10229","93,97"
cat-39965,hlr,cat-10227,88,"cat-10227,cat-10229","88,93"
cat-39966,hlr,cat-10227,81,"cat-10227,cat-10229","81,86"
cat-40048,hlr,cat-10227,167,"cat-10227,cat-10229","167,172"
cat-40074,hlr,cat-10227,45,"cat-10227,cat-10229","45,50"
cat-40075,hlr,cat-10227,86,"cat-10227,cat-10229","86,90"
cat-40076,hlr,cat-10227,89,"cat-10227,cat-10229","89,93"
cat-4036,hlr,cat-10227,397,"cat-10227,cat-10229","397,402"
cat-4245,hlr,cat-10083,384,cat-10083,384
cat-4316,hlr,cat-10227,414,"cat-10227,cat-10229","414,418"
cat-4324,hlr,cat-10227,414,"cat-10227,cat-10229","414,418"
cat-4365,hlr,cat-10227,411,"cat-10227,cat-10229","411,416"
cat-4410,hlr,cat-10227,401,"cat-10227,cat-10229","401,405"
cat-4867,hlr,cat-10227,409,"cat-10227,cat-10229","409,413"
cat-4881,hlr,cat-10227,398,"cat-10227,cat-10229","398,403"
cat-7567,hlr,cat-10083,347,cat-10083,347
cat-7813,hlr,cat-10227,369,"cat-10227,cat-10229","369,372"
cat-8784,hlr,cat-10227,376,"cat-10227,cat-10229","376,379"
cat-8807,hlr,cat-10227,377,"cat-10227,cat-10229","377,381"
cat-8816,hlr,cat-10227,383,"cat-10227,cat-10229","383,387"
cat-8818,hlr,cat-10227,387,"cat-10227,cat-10229","387,391"
cat-8837,hlr,cat-10227,381,"cat-10227,cat-10229","381,384"
cat-9250,hlr,cat-10227,384,"cat-10227,cat-10229","384,387"
cat-9581,hlr,cat-10083,278,cat-10083,278
cat-10022,hlr,cat-8266,68,"cat-8266,cat-8965","68,85"
cat-10026,hlr,cat-8266,60,"cat-8266,cat-8965","60,76"
cat-10033,hlr,cat-8266,61,"cat-8266,cat-8965","61,76"
cat-10071,hlr,cat-8266,71,"cat-8266,cat-8965","71,84"
cat-10078,hlr,cat-8266,88,"cat-8266,cat-8965","88,100"
cat-10093,hlr,cat-8266,100,"cat-8266,cat-8965","100,110"
