id,tag,donor,distSpatial,donors,distSpatials
cat-31335,camels,cat-14832,71,"cat-14832,cat-14463,cat-15313","71,74,78"
cat-31343,camels,cat-14832,55,"cat-14832,cat-14463,cat-15313","55,57,63"
cat-31356,camels,cat-14832,46,"cat-14832,cat-14463,cat-15313","46,48,54"
cat-31357,camels,cat-14832,44,"cat-14832,cat-14463,cat-15313","44,46,52"
cat-31390,camels,cat-14832,77,"cat-14832,cat-14463,cat-15313","77,79,82"
cat-31444,camels,cat-15313,128,"cat-15313,cat-14463,cat-14832","128,135,135"
cat-31455,camels,cat-15313,110,"cat-15313,cat-14832,cat-14463","110,116,117"
cat-31457,camels,cat-15313,102,"cat-15313,cat-14832,cat-14463","102,108,109"
cat-31462,camels,cat-15313,124,"cat-15313,cat-14463,cat-14832","124,131,131"
cat-31482,camels,cat-15313,100,"cat-15313,cat-14832,cat-14463","100,106,107"
cat-31483,camels,cat-15313,98,"cat-15313,cat-14832,cat-14463","98,104,105"
cat-31526,camels,cat-15313,61,"cat-15313,cat-14832,cat-14463","61,64,65"
cat-31593,camels,cat-15313,108,"cat-15313,cat-14463,cat-14832","108,115,115"
cat-31613,camels,cat-15313,63,"cat-15313,cat-14832,cat-14463","63,67,68"
cat-31621,camels,cat-15313,66,"cat-15313,cat-14832,cat-14463","66,71,72"
cat-31647,camels,cat-15313,111,"cat-15313,cat-14832,cat-14463","111,117,118"
cat-31649,camels,cat-15313,111,"cat-15313,cat-14832,cat-14463","111,118,119"
cat-31665,camels,cat-15313,54,"cat-15313,cat-14832,cat-14463","54,57,58"
cat-31670,camels,cat-15313,72,"cat-15313,cat-14832,cat-14463","72,76,78"
cat-31671,camels,cat-15313,75,"cat-15313,cat-14832,cat-14463","75,79,80"
cat-31724,camels,cat-15313,132,"cat-15313,cat-14463,cat-14832","132,140,140"
cat-31726,camels,cat-15313,127,"cat-15313,cat-14463,cat-14832","127,135,135"
cat-31743,camels,cat-15313,138,"cat-15313,cat-14463,cat-14832","138,145,145"
cat-31756,camels,cat-15313,130,"cat-15313,cat-14463,cat-14832","130,138,138"
cat-31914,camels,cat-15313,63,"cat-15313,cat-14832,cat-14463","63,66,68"
cat-31966,camels,cat-15313,84,"cat-15313,cat-14832,cat-14463","84,90,91"
cat-31970,camels,cat-15313,78,"cat-15313,cat-14832,cat-14463","78,82,83"
cat-31990,camels,cat-15313,109,"cat-15313,cat-14463,cat-14832","109,116,116"
cat-31993,camels,cat-15313,103,"cat-15313,cat-14463,cat-14832","103,110,110"
cat-31999,camels,cat-15313,118,"cat-15313,cat-14463,cat-14832","118,125,125"
cat-32001,camels,cat-15313,119,"cat-15313,cat-14832,cat-14463","119,126,127"
cat-32002,camels,cat-15313,128,"cat-15313,cat-14463,cat-14832","128,135,135"
cat-32008,camels,cat-15313,122,"cat-15313,cat-14463,cat-14832","122,129,129"
cat-32009,camels,cat-15313,117,"cat-15313,cat-14463,cat-14832","117,124,124"
cat-32013,camels,cat-15313,113,"cat-15313,cat-14832,cat-14463","113,119,120"
cat-32014,camels,cat-15313,118,"cat-15313,cat-14832,cat-14463","118,124,125"
cat-32016,camels,cat-15313,113,"cat-15313,cat-14832,cat-14463","113,119,120"
cat-32017,camels,cat-15313,109,"cat-15313,cat-14832,cat-14463","109,115,116"
cat-32021,camels,cat-15313,104,"cat-15313,cat-14832,cat-14463","104,110,111"
cat-32024,camels,cat-15313,114,"cat-15313,cat-14832,cat-14463","114,120,121"
cat-32338,camels,cat-15313,21,"cat-15313,cat-14463,cat-14832","21,24,26"
cat-32351,camels,cat-15313,29,"cat-15313,cat-14463,cat-14832","29,38,38"
cat-32355,camels,cat-15313,32,"cat-15313,cat-14463,cat-14832","32,41,41"
cat-32447,camels,cat-15313,43,"cat-15313,cat-14463,cat-14832","43,52,53"
cat-32450,camels,cat-15313,46,"cat-15313,cat-14463,cat-14832","46,55,56"
cat-32627,camels,cat-15313,28,"cat-15313,cat-14463,cat-14832","28,37,37"
cat-32707,camels,cat-15313,58,"cat-15313,cat-14463,cat-14832","58,67,68"
cat-32717,camels,cat-15313,85,"cat-15313,cat-14463,cat-14832","85,94,95"
cat-32718,camels,cat-15313,69,"cat-15313,cat-14463,cat-14832","69,78,79"
cat-32728,camels,cat-15313,50,"cat-15313,cat-14463,cat-14832","50,59,60"
cat-32730,camels,cat-15313,77,"cat-15313,cat-14463,cat-14832","77,86,87"
cat-32733,camels,cat-15313,73,"cat-15313,cat-14463,cat-14832","73,82,83"
cat-32735,camels,cat-15313,63,"cat-15313,cat-14463,cat-14832","63,72,73"
cat-32760,camels,cat-15313,71,"cat-15313,cat-14463,cat-14832","71,79,80"
cat-32763,camels,cat-15313,80,"cat-15313,cat-14463,cat-14832","80,89,90"
cat-32778,camels,cat-15313,66,"cat-15313,cat-14463,cat-14832","66,75,75"
cat-32779,camels,cat-15313,74,"cat-15313,cat-14463,cat-14832","74,83,84"
cat-32780,camels,cat-15313,67,"cat-15313,cat-14463,cat-14832","67,76,76"
cat-32787,camels,cat-15313,51,"cat-15313,cat-14463,cat-14832","51,60,60"
cat-32834,camels,cat-15313,100,"cat-15313,cat-14463,cat-14832","100,109,110"
cat-32849,camels,cat-15313,91,"cat-15313,cat-14463,cat-14832","91,100,100"
cat-32857,camels,cat-15313,81,"cat-15313,cat-14463,cat-14832","81,89,90"
cat-32858,camels,cat-15313,88,"cat-15313,cat-14463,cat-14832","88,96,97"
cat-32862,camels,cat-15313,81,"cat-15313,cat-14463,cat-14832","81,90,91"
cat-32864,camels,cat-15313,86,"cat-15313,cat-14463,cat-14832","86,95,96"
cat-32865,camels,cat-15313,85,"cat-15313,cat-14463,cat-14832","85,94,94"
cat-32869,camels,cat-15313,78,"cat-15313,cat-14463,cat-14832","78,86,87"
cat-32872,camels,cat-15313,75,"cat-15313,cat-14463,cat-14832","75,83,84"
cat-32874,camels,cat-15313,75,"cat-15313,cat-14463,cat-14832","75,84,85"
cat-32885,camels,cat-15313,42,"cat-15313,cat-14463,cat-14832","42,50,52"
cat-32911,camels,cat-15313,55,"cat-15313,cat-14463,cat-14832","55,63,64"
cat-32924,camels,cat-15313,68,"cat-15313,cat-14463,cat-14832","68,77,78"
cat-32964,camels,cat-15313,53,"cat-15313,cat-14463,cat-14832","53,62,63"
cat-32972,camels,cat-15313,68,"cat-15313,cat-14463,cat-14832","68,77,77"
cat-32989,camels,cat-15313,55,"cat-15313,cat-14463,cat-14832","55,63,64"
cat-32990,camels,cat-15313,54,"cat-15313,cat-14463,cat-14832","54,63,63"
cat-32991,camels,cat-15313,57,"cat-15313,cat-14463,cat-14832","57,66,66"
cat-32994,camels,cat-15313,57,"cat-15313,cat-14463,cat-14832","57,66,66"
cat-32995,camels,cat-15313,62,"cat-15313,cat-14463,cat-14832","62,70,71"
cat-32996,camels,cat-15313,63,"cat-15313,cat-14463,cat-14832","63,72,72"
cat-32997,camels,cat-15313,64,"cat-15313,cat-14463,cat-14832","64,73,73"
cat-33000,camels,cat-15313,67,"cat-15313,cat-14463,cat-14832","67,76,77"
cat-33031,camels,cat-15313,59,"cat-15313,cat-14463,cat-14832","59,68,69"
cat-33036,camels,cat-15313,74,"cat-15313,cat-14463,cat-14832","74,82,83"
cat-33042,camels,cat-15313,83,"cat-15313,cat-14463,cat-14832","83,92,92"
cat-33043,camels,cat-15313,86,"cat-15313,cat-14463,cat-14832","86,95,95"
cat-34173,camels,cat-14832,92,"cat-14832,cat-14463,cat-15313","92,94,96"
cat-34202,camels,cat-14832,88,"cat-14832,cat-14463,cat-15313","88,90,92"
cat-34366,camels,cat-14832,113,"cat-14832,cat-14463,cat-15313","113,115,115"
cat-34444,camels,cat-14832,121,"cat-14832,cat-15313,cat-14463","121,122,123"
cat-34462,camels,cat-14832,119,"cat-14832,cat-15313,cat-14463","119,120,121"
cat-34465,camels,cat-14832,122,"cat-14832,cat-15313,cat-14463","122,123,124"
cat-34468,camels,cat-14832,126,"cat-14832,cat-15313,cat-14463","126,126,128"
cat-34474,camels,cat-14832,129,"cat-14832,cat-15313,cat-14463","129,129,131"
cat-34887,camels,cat-15313,133,"cat-15313,cat-14832,cat-14463","133,134,136"
cat-35792,camels,cat-14832,97,"cat-14832,cat-15313,cat-14463","97,97,99"
cat-35901,camels,cat-14832,73,"cat-14832,cat-15313,cat-14463","73,73,75"
cat-36032,camels,cat-15313,129,"cat-15313,cat-14832,cat-14463","129,130,132"
cat-36048,camels,cat-15313,128,"cat-15313,cat-14832,cat-14463","128,129,130"
cat-36073,camels,cat-14832,116,"cat-14832,cat-15313,cat-14463","116,117,118"
cat-36078,camels,cat-14832,118,"cat-14832,cat-15313,cat-14463","118,119,120"
cat-36081,camels,cat-14832,120,"cat-14832,cat-15313,cat-14463","120,121,122"
