,reg_algorithm,reg_scenario,prcFlatLowland,prcFlatUpland,prcFlatTotal,relief,cidx,aridity,sand_frac,clay_frac,soil_depth,forest_frac,cropland_frac,urban_frac,slope,elev_mean,p_mean,pet_mean,snow_frac,high_prec_freq,low_prec_freq,high_prec_dur,low_prec_dur,gvf_max,gvf_diff,lai_max,lai_diff,geo_porosity,geo_permeability,soil_porosity,soil_conductivity
mean,kmedoids,camels,,,,,,0.08245762711864409,0.08032735174540867,0.027135146502173,0.1740537545026323,0.15091580098414434,,,0.041828184800437394,99.36335565882997,79.61362766539094,58.23236536358666,0.02429948059048661,1.4057476763258612,4.806677829414981,0.02275970475669765,0.12536358665937672,0.07229702022963368,0.08855795516675781,0.6282476763258612,0.6239816839803171,0.05783081447035492,0.7033392600697531,0.019814698272848052,0.6658282637577791
std,kmedoids,camels,,,,,,0.0775691021116448,0.07123209462810168,0.03564125241900683,0.23559574117225476,0.13308896895085498,,,0.03270335877419448,98.07283990103997,66.62013848435085,47.23807119853694,0.02195835477153526,0.9719875790173421,4.575463126956908,0.017675689117498453,0.09970020872141909,0.13551767334488218,0.12294146622780844,0.7970327579887515,0.6931173705545495,0.06316905248052307,0.8214931494911198,0.03563098454253184,0.9388353413655178
min,kmedoids,camels,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,kmedoids,camels,,,,,,0.03,0.03,0.01,0.0,0.05,,,0.02,28.02,28.0175,21.22,0.01,0.58,1.58,0.01,0.05,0.0,0.02,0.15,0.16,0.0,0.02,0.0,0.19
50%,kmedoids,camels,,,,,,0.06,0.06,0.02,0.07,0.11,,,0.04,62.825,64.345,46.92,0.02,1.29,3.54,0.02,0.11,0.03,0.05,0.35,0.4,0.03,0.42,0.01,0.41
75%,kmedoids,camels,,,,,,0.12,0.11,0.03,0.25,0.22,,,0.06,140.07999999999998,112.3,84.05,0.03,2.08,6.71,0.03,0.18,0.08,0.11,0.73,0.82,0.1,1.1,0.02,0.92
max,kmedoids,camels,,,,,,0.55,0.61,0.24,1.48,0.94,,,0.28,679.58,438.07,407.19,0.14,5.92,39.46,0.12,0.77,0.99,0.97,5.05,4.3,0.26,7.68,0.39,28.33
count,hdbscan,hlr,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14266.0,14266.0,14436.0,14632.0,14632.0,14632.0,,,,,,,,,,,,,,,,,
mean,hdbscan,hlr,9.775765445598688,3.378827227993439,8.491183706943685,182.11656984691086,0.1201954620010935,0.12346227446692183,0.15004345997476518,0.03715196971821113,0.2481255195344971,0.15542167851284855,0.0521760524876982,0.07597184253690542,,,,,,,,,,,,,,,,,
std,hdbscan,hlr,10.346512635929393,5.562988065412985,9.394122059378532,200.01344463557976,0.09435522026898424,0.09999172994834145,0.13118168558932486,0.04444602702815536,0.2930425983211321,0.123606966348863,0.07232081077506942,0.1280410760203946,,,,,,,,,,,,,,,,,
min,hdbscan,hlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
