id,toid,type,areasqkm,gages
cat-11790,nex-11791,network,5.0323489559974,01086000
cat-11792,nex-11793,network,8.86500125098532,01086000
cat-11938,nex-11939,network,9.75735285743353,01086000
cat-12026,nex-11791,network,4.65795121952477,01086000
cat-12269,nex-11791,network,8.37630874343961,01086000
cat-12271,nex-12272,network,6.74684992801764,01086000
cat-12272,nex-11794,network,11.2508962875927,01086000
cat-12650,nex-11794,network,7.28324925748327,01086000
cat-12902,nex-12648,network,3.08519661605677,01086000
cat-12648,nex-12025,network,4.13730135898793,01086000
cat-12481,nex-12026,network,5.07644483401092,01086000
cat-13238,nex-11790,network,1.80944897849727,01086000
cat-13237,nex-12113,network,3.82094796604726,01086000
cat-13236,nex-12112,network,5.51654139151993,01086000
cat-12112,nex-12113,network,6.22350635852797,01086000
cat-12113,nex-11792,network,5.2213483754155,01086000
cat-12900,nex-12199,network,4.73714503197873,01086000
cat-12899,nex-12200,network,1.82475072445522,01086000
